"type","url","status","indexable","in_sitemap","title","h1","words_approx","products","recommendation"
"product_category","https://medhub.ae/product-category/auto-bipap-machine/","200","yes","NO","Best Auto BiPAP Machine in Dubai for Easy Breathing","Auto BiPAP","99","2","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/auto-cpap-machine/","200","yes","NO","Best Auto CPAP Machine in Dubai for Sleep Therapy","Auto CPAP","176","3","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/bipap/","200","yes","NO","Best BiPAP in Dubai for Advanced Sleep Therapy","BiPAP in Dubai","125","3","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/cpap/","200","yes","NO","Best CPAP in Dubai for Sleep Apnea Treatment","CPAP","167","2","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/cpap-bipap-accessories/","200","yes","NO","Best CPAP/BiPAP Accessories in Dubai for Comfort","CPAP/BiPAP Accessories","314","11","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/buy-cpap-bipap-masks/","200","yes","NO","Buy CPAP/BiPAP Masks In Dubai | Dubai Online.","CPAP/BiPAP Masks","360","13","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/medical-disposables/","200","yes","NO","Best Medical Disposables in Dubai for Hospitals & Clinics","Disposables","124","4","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/electrocardiogram-machine/","200","yes","NO","Best Electrocardiogram Machine in Dubai for Clinics","Electrocardiogram","136","3","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/feeding-milk-nutritional-supplement/","200","yes","NO","Best Feeding Milk Nutritional Supplement in Dubai","Feeding Milk (Nutiricional Suppliment )","114","4","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/enteral-feeding-pump/","200","yes","NO","Best Enteral Feeding Pump in Dubai for Safe Feeding","Feeding Pump","159","3","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/feeding-pump-accessories/","200","yes","NO","Best Feeding Pump Accessories in Dubai for Patient Care","Feeding Pump Accessories","143","5","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/health-monitoring-devices/","200","yes","NO","Best Health Monitoring Devices in Dubai for Home Use","Health Monitoring","609","18","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/pulse-oximeter/","200","yes","NO","Best Pulse Oximeter in Dubai for Accurate Monitoring","Health Monitoring Pulse Oximeter","137","3","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/hospital-furniture/","200","yes","NO","Premium Hospital Furniture | Durable & Medical Grade","Hospital Furniture","523","15","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/hygiene-and-infection-control-products/","200","yes","NO","Best Hygiene and Infection Control Products in Dubai","Hygiene & Infection Control","740","25","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/infusion-pump/","200","yes","NO","Best Infusion Pump in Dubai for Accurate Drug Delivery","Infusion Therapy","34","1","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/nasogastric-tubes/","200","yes","NO","Nasogastric Tubes Archives - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","Nasogastric Tubes","91","1","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/buy-oxygen-concentrator/","200","yes","NO","Best Oxygen Concentrator in Dubai for Home and Medical Use","Oxygen Concentrator","244","5","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/oxygen-concentrator-accessories/","200","yes","NO","Best Oxygen Concentrator Accessories in Dubai","Oxygen Concentrator Accessories","117","5","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/oxygen-concentrator/","200","yes","NO","Buy Oxygen Concentrator in UAE for Home and Medical Use","Oxygen Therapy","632","18","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/patient-bed/","200","yes","NO","Best Patient Bed in Dubai for Home and Medical Care","Patient Bed","188","7","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/patient-monitor/","200","yes","NO","Best Patient Monitor in Dubai for Accurate Vital Tracking","Patient Monitor","68","2","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/portable-oxygen-concentrator/","200","yes","NO","Best Portable Oxygen Concentrator in Dubai for Travel","Portable Oxygen Concentrator","319","6","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/medical-equipment-rental/","200","yes","NO","Best Medical Equipment Rental in Dubai Services","Rental","573","13","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/sleep-support-comfort-solutions/","200","yes","NO","Sleep Support & Comfort Solutions Archives - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","Sleep Support & Comfort Solutions","340","6","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/suction-machine/","200","yes","NO","Best Suction Machine in Dubai for Medical Use","Suction Machine","320","5","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/therapy-and-massage-devices-in-dubai/","200","yes","NO","Best Therapy and Massage Devices in Dubai for Recovery","Therapy & Massage","39","1","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/tracheostomy-care-products-in-dubai/","200","yes","NO","Best Tracheostomy Care Products in Dubai for Patients","Tracheostomy Care","666","23","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/travel-cpap-machine/","200","yes","NO","Best Travel CPAP Machine in Dubai for Easy Sleep Therapy","Travel CPAP","93","1","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/uncategorized/","200","yes","NO","Uncategorized Archives - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","Uncategorized","96","4","noindex, hide"
"product_category","https://medhub.ae/product-category/ventilator-accessories-in-dubai/","200","yes","NO","Best Ventilator Accessories in Dubai for Medical Use","Ventilator Accessories","483","11","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/vital-sign-monitor-in-dubai/","200","yes","NO","Best Vital Sign Monitor in Dubai for Accurate Tracking","Vital Sign Monitor","122","2","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/wound-care/","200","yes","NO","Wound Care Archives - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","Wound Care","521","11","KEEP URL – redesign as landing/category"
"product_category","https://medhub.ae/product-category/portable-ventilator/","200","no","NO","Best Portable Ventilator in Dubai for Advanced Care","Ventilation","7","","KEEP noindex until products exist"
"brand","https://medhub.ae/brand/inogen/","200","yes","NO","Inogen Archives - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","203","2","KEEP URL – upgrade to brand landing"
"brand","https://medhub.ae/brand/philips/","200","yes","NO","Philips Respironics Archives - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","190","2","KEEP URL – upgrade to brand landing"
"brand","https://medhub.ae/brand/resmed/","200","yes","NO","ResMed Archives - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","282","8","KEEP URL – upgrade to brand landing"
"brand","https://medhub.ae/brand/yuwell/","200","yes","NO","Yuwell Archives - Medical Equipment Suppliers in Dubai | Buy Medical Supplies UAE","(none)","317","3","KEEP URL – upgrade to brand landing"
"product","https://medhub.ae/product/oxygen-cylinder-in-dubai/","200","yes","yes","Best Oxygen Cylinder in Dubai for Home and Medical Use","Alunimum Oxygen Cylinder 10 Litre with Trolley (Rental Per Month)","988","","KEEP"
"brand","https://medhub.ae/brand/abbott/","","yes","NO","Abbott","","","5","KEEP URL"
"brand","https://medhub.ae/brand/ace-sabaah/","","yes","NO","Ace Sabaah","","","2","KEEP URL"
"brand","https://medhub.ae/brand/activheal/","","yes","NO","Activheal","","","3","KEEP URL"
"brand","https://medhub.ae/brand/aerogen/","","yes","NO","Aerogen","","","1","KEEP URL"
"brand","https://medhub.ae/brand/attends/","","yes","NO","Attends","","","4","KEEP URL"
"brand","https://medhub.ae/brand/b-braun/","","yes","NO","B Braun","","","1","KEEP URL"
"brand","https://medhub.ae/brand/choice-one-medical/best-in-rest/","","yes","NO","Best in Rest","","","2","KEEP URL"
"brand","https://medhub.ae/brand/beurer/","","yes","NO","Beurer","","","3","KEEP URL"
"brand","https://medhub.ae/brand/caire-medical/","","yes","NO","Caire Medical","","","1","KEEP URL"
"brand","https://medhub.ae/brand/cardinal-health/","","yes","NO","Cardinal Health","","","2","KEEP URL"
"brand","https://medhub.ae/brand/choice-one-medical/","","yes","NO","Choice One Medical","","","8","KEEP URL"
"brand","https://medhub.ae/brand/clinell/","","yes","NO","Clinell","","","2","KEEP URL"
"brand","https://medhub.ae/brand/contour/","","yes","NO","Contour","","","6","KEEP URL"
"brand","https://medhub.ae/brand/convatec/","","yes","NO","Convatec","","","2","KEEP URL"
"brand","https://medhub.ae/brand/covidien/","","yes","NO","Covidien","","","2","KEEP URL"
"brand","https://medhub.ae/brand/friends/","","yes","NO","Friends","","","3","KEEP URL"
"brand","https://medhub.ae/brand/gce-healthcare/","","yes","NO","GCE Healthcare","","","1","KEEP URL"
"brand","https://medhub.ae/brand/hartmann/","","yes","NO","Hartmann","","","1","KEEP URL"
"brand","https://medhub.ae/brand/masimo/","","yes","NO","Masimo","","","2","KEEP URL"
"brand","https://medhub.ae/brand/medical-econet-gmbh/","","yes","NO","Medical Econet GmbH","","","3","KEEP URL"
"brand","https://medhub.ae/brand/meditera/","","yes","NO","Meditera","","","3","KEEP URL"
"brand","https://medhub.ae/brand/medline/","","yes","NO","Medline","","","1","KEEP URL"
"brand","https://medhub.ae/brand/molnlycke/","","yes","NO","Molnlycke","","","6","KEEP URL"
"brand","https://medhub.ae/brand/nateen/","","yes","NO","Nateen","","","1","KEEP URL"
"brand","https://medhub.ae/brand/o2-concepts/","","yes","NO","O2 Concepts","","","1","KEEP URL"
"brand","https://medhub.ae/brand/portex/","","yes","NO","Portex","","","1","KEEP URL"
"brand","https://medhub.ae/brand/choice-one-medical/purdoux/","","yes","NO","Purdoux","","","4","KEEP URL"
"brand","https://medhub.ae/brand/romsons/","","yes","NO","Romsons","","","2","KEEP URL"
"brand","https://medhub.ae/brand/sinmed/","","yes","NO","Sinmed","","","1","KEEP URL"
"brand","https://medhub.ae/brand/choice-one-medical/zephair/","","yes","NO","ZephAir","","","1","KEEP URL"
"product","https://medhub.ae/product/gce-healthcare-zen-o-portable-oxygen-concentrator/","200","yes","yes","GCE Healthcare Zen-O Portable Oxygen Concentrator","GCE Healthcare Zen-O Portable Oxygen Concentrator","","Oxygen Therapy; Portable Oxygen Concentrator | AED 12500 | in stock | GCE Healthcare","KEEP URL"
"product","https://medhub.ae/product/caire-sequal-eclipse-5-portable-oxygen-concentrator/","200","yes","yes","Caire SeQual Eclipse 5 Portable Oxygen Concentrator","Caire SeQual Eclipse 5 Portable Oxygen Concentrator","","Oxygen Therapy; Portable Oxygen Concentrator | AED 10999 | in stock | Caire Medical","KEEP URL"
"product","https://medhub.ae/product/o2-concepts-oxlife-liberty-2-portable-oxygen-concentrator/","200","yes","yes","O2 Concepts Oxlife Liberty 2 Portable Oxygen Concentrator","O2 Concepts Oxlife Liberty 2 Portable Oxygen Concentrator","","Oxygen Therapy; Portable Oxygen Concentrator | AED 10999 | in stock | O2 Concepts","KEEP URL"
"product","https://medhub.ae/product/yuwell-8f-10-single-flow-10l-oxygen-concentrator/","200","yes","yes","Yuwell 8F-10 Single Flow 10L Oxygen Concentrator","Yuwell 8F-10 Single Flow 10L Oxygen Concentrator","","Oxygen Concentrator; Oxygen Therapy | AED 5450 | in stock | Yuwell","KEEP URL"
"product","https://medhub.ae/product/yuwell-8f-5a-oxygen-concentrator-5l/","200","yes","yes","Yuwell 8F-5A Oxygen Concentrator 5L","Yuwell 8F-5A Oxygen Concentrator 5L","","Oxygen Concentrator; Oxygen Therapy | AED 2300 | in stock | Yuwell","KEEP URL"
"product","https://medhub.ae/product/amoul-i3-semi-automated-external-defibrillator/","200","yes","yes","Amoul i3 Semi Automated External Defibrillator","Amoul i3 Semi Automated External Defibrillator","","Health Monitoring | AED 3450 | in stock","KEEP URL"
"product","https://medhub.ae/product/3m-silvercel-non-adherent-hydro-alginate-antimicrobial-dressing-11x11cm-10-box/","200","yes","yes","3M Silvercel Non-Adherent Hydro-Alginate Antimicrobial Dressing 11x11cm 10/Box","3M Silvercel Non-Adherent Hydro-Alginate Antimicrobial Dressing 11x11cm 10/Box","","Wound Care | AED 610 | in stock","KEEP URL"
"product","https://medhub.ae/product/convatec-aquacel-ag-extra-10x10cm-10s/","200","yes","yes","Convatec Aquacel® Ag+ Extra™ 10x10cm 10's","Convatec Aquacel® Ag+ Extra™ 10x10cm 10's","","Wound Care | AED 450 | in stock | Convatec","KEEP URL"
"product","https://medhub.ae/product/convatec-aquacel-ag-extra-5x5cm-10s/","200","yes","yes","Convatec Aquacel® Ag+ Extra™ 5x5cm 10's","Convatec Aquacel® Ag+ Extra™ 5x5cm 10's","","Wound Care | AED 205 | in stock | Convatec","KEEP URL"
"product","https://medhub.ae/product/heyer-luvar-a-auto-cpap-with-humidifier/","200","yes","yes","Heyer Luvar A Auto CPAP with Humidifier","Heyer Luvar A Auto CPAP with Humidifier","","Auto CPAP | AED 2800 | in stock","KEEP URL"
"product","https://medhub.ae/product/meditera-altech-tracheostomy-hme-sterile/","200","yes","yes","Meditera Altech Tracheostomy HME Sterile","Meditera Altech Tracheostomy HME Sterile","","Tracheostomy Care | AED 14 | in stock | Meditera","KEEP URL"
"product","https://medhub.ae/product/nateen-hospeen-adult-pants-premium-plus-large-18-pack/","200","yes","yes","Nateen Hospeen Adult Pants Premium Plus Large 18/Pack","Nateen Hospeen Adult Pants Premium Plus Large 18/Pack","","Hygiene & Infection Control | AED 42 | in stock | Nateen","KEEP URL"
"product","https://medhub.ae/product/attends-pull-ons-10-disposable-pants-for-incontinence-14-pack/","200","yes","yes","Attends Pull-Ons 10 Disposable Pants for Incontinence 14/Pack","Attends Pull-Ons 10 Disposable Pants for Incontinence 14/Pack","","Hygiene & Infection Control | AED 105 | out of stock | Attends","KEEP URL"
"product","https://medhub.ae/product/altech-medi-flow-pediatric-coaxial-circuit/","200","yes","yes","Altech Medi-Flow Pediatric Coaxial Circuit","Altech Medi-Flow Pediatric Coaxial Circuit","","Ventilator Accessories | AED 180 | in stock | Meditera","KEEP URL"
"product","https://medhub.ae/product/altech-medi-flow-adult-coaxial-circuit/","200","yes","yes","Altech Medi-Flow Adult Coaxial Circuit","Altech Medi-Flow Adult Coaxial Circuit","","Ventilator Accessories | AED 180 | in stock | Meditera","KEEP URL"
"product","https://medhub.ae/product/sinmed-evo-fix-one-piece-adult-tracheostomy-tube-holder/","200","yes","yes","Sinmed Evo-Fix One-Piece Adult Tracheostomy Tube Holder","Sinmed Evo-Fix One-Piece Adult Tracheostomy Tube Holder","","Tracheostomy Care | AED 15 | in stock | Sinmed","KEEP URL"
"product","https://medhub.ae/product/activheal-silicone-border-foam-dressing-sacral-18x18-5cm-10-box/","200","yes","yes","Activheal Silicone Border Foam Dressing Sacral 18x18.5cm 10/Box","Activheal Silicone Border Foam Dressing Sacral 18x18.5cm 10/Box","","Hygiene & Infection Control; Wound Care | AED 630 | in stock | Activheal","KEEP URL"
"product","https://medhub.ae/product/attends-cover-dri-plus-underpads-60x90cm-50-pack/","200","yes","yes","Attends Cover Dri Plus Underpads 60x90cm 50/Pack","Attends Cover Dri Plus Underpads 60x90cm 50/Pack","","Hygiene & Infection Control | AED 115.5 | in stock | Attends","KEEP URL"
"product","https://medhub.ae/product/abbott-ensure-plus-advance-rth-500ml/","200","yes","yes","Abbott Ensure Plus Advance RTH 500ml","Abbott Ensure Plus Advance RTH 500ml","","Feeding Milk (Nutiricional Suppliment ) | AED 52.5 | in stock | Abbott","KEEP URL"
"product","https://medhub.ae/product/friends-premium-adult-diapers-extra-large-10-pack/","200","yes","yes","Friends Premium Adult Diapers Extra Large 10/Pack","Friends Premium Adult Diapers Extra Large 10/Pack","","Hygiene & Infection Control | AED 47.25 | in stock | Friends","KEEP URL"
"product","https://medhub.ae/product/friends-premium-adult-diapers-large-10-pack/","200","yes","yes","Friends Premium Adult Diapers Large 10/Pack","Friends Premium Adult Diapers Large 10/Pack","","Hygiene & Infection Control | AED 47.25 | in stock | Friends","KEEP URL"
"product","https://medhub.ae/product/ace-sabaah-super-dry-adult-diapers-pack-of-30-extra-large/","200","yes","yes","Ace Sabaah Super Dry Adult Diapers Pack of 30 Pcs Extra Large","Ace Sabaah Super Dry Adult Diapers Pack of 30 Pcs Extra Large","","Hygiene & Infection Control | AED 73.5 | in stock | Ace Sabaah","KEEP URL"
"product","https://medhub.ae/product/friends-premium-underpads-60x90cm-10s-pack/","200","yes","yes","Friends Premium Underpads 60x90cm 10's Pack","Friends Premium Underpads 60x90cm 10's Pack","","Hygiene & Infection Control | AED 26.25 | in stock | Friends","KEEP URL"
"product","https://medhub.ae/product/philips-respironics-oxygenate-5-oxygen-concentrator-5l/","200","yes","yes","Philips Respironics Oxygenate 5 Oxygen Concentrator 5L","Philips Respironics Oxygenate 5 Oxygen Concentrator 5L","","Oxygen Concentrator; Oxygen Therapy | AED 3400 | in stock | Philips Respironics","KEEP URL"
"product","https://medhub.ae/product/contour-kabooti-kool-gel-cushion/","200","yes","yes","Contour Kabooti Kool Gel Cushion","Contour Kabooti Kool Gel Cushion","","Sleep Support & Comfort Solutions | AED 261.45 | in stock | Contour","KEEP URL"
"product","https://medhub.ae/product/contour-kabooti-kool-gel/","200","yes","yes","Contour Lumbar Kabooti Kool Gel","Contour Lumbar Kabooti Kool Gel","","Sleep Support & Comfort Solutions | AED 261.45 | in stock | Contour","KEEP URL"
"product","https://medhub.ae/product/contour-30-740rb-kabooti-3-in-1-complete-comfort-seating-solution/","200","yes","yes","Contour Kabooti 3-in-1 Complete Comfort Seating Solution","Contour Kabooti 3-in-1 Complete Comfort Seating Solution","","Sleep Support & Comfort Solutions | AED 240.45 | in stock | Contour","KEEP URL"
"product","https://medhub.ae/product/contour-29-450r-legacy-leg-pillow/","200","yes","yes","Contour 29-450R Legacy Leg Pillow","Contour 29-450R Legacy Leg Pillow","","Sleep Support & Comfort Solutions | AED 135.45 | in stock | Contour","KEEP URL"
